QuoteDate,SymbolId,SymbolName,DealVolume,DealCount,DealAmount,OpenPrice,HighPrice,LowPrice,ClosePrice,PriceChange,PriceChangeRatio,PERatio
2018/6/11,1101,台泥,9317590,4865,414999800,45.15,45.15,44.3,44.6,-0.4,-0.89,19.48
2018/6/11,1301,台塑,7051287,3021,764375623,108.5,109,107.5,109,0.5,0.46,13.51
2018/6/11,2002,中鋼,10361945,3485,250086654,24.3,24.4,24,24.1,-0.3,-1.23,20.96
2018/6/11,2330,台積電,22028933,6726,4980629259,226.5,227,225,226,-1,-0.44,16.98
2018/6/12,1101,台泥,12668353,5722,564455196,44.7,44.8,44.4,44.5,-0.1,-0.22,19.43
2018/6/12,1301,台塑,10121569,3592,1092457650,108,108.5,107.5,107.5,-1.5,-1.38,13.32
2018/6/12,2002,中鋼,13903846,4693,335070857,24,24.2,23.95,24.15,0.05,0.21,21
2018/6/12,2330,台積電,30189360,8281,6837374510,225,229,224,229,3,1.33,17.21
2018/6/13,1101,台泥,11705098,5693,528213617,45,45.6,44.45,45.45,0.95,2.13,19.85
2018/6/13,1301,台塑,11520074,4401,1232904940,108,108,106,107.5,0,0,13.32
2018/6/13,2002,中鋼,10150093,3449,244249583,24.05,24.1,24,24.05,-0.1,-0.41,20.91
2018/6/13,2330,台積電,36081120,10687,8311856296,229,232,228,232,3,1.31,17.43
2018/6/14,1101,台泥,10842221,5033,488747105,45,45.35,44.85,44.9,-0.55,-1.21,19.61
2018/6/14,1301,台塑,9957621,3107,1066593122,107,108,106.5,106.5,-1,-0.93,13.2
2018/6/14,2002,中鋼,18303968,7930,434815059,23.9,23.95,23.6,23.7,-0.35,-1.46,20.61
2018/6/14,2330,台積電,36932041,12252,8423126398,230,230,226.5,226.5,-5.5,-2.37,17.02
2018/6/15,1101,台泥,22298642,8070,1006223770,45.1,45.7,44.6,45.25,0.35,0.78,19.76
2018/6/15,1301,台塑,18897718,4066,1999653608,107,107,105,106,-0.5,-0.47,13.14
2018/6/15,2002,中鋼,29040578,4923,687390414,23.7,23.8,23.6,23.65,-0.05,-0.21,20.57
2018/6/15,2330,台積電,49506679,10090,11291127719,225,231,224,231,4.5,1.99,17.36
